Resistance_Ohm,Soil_Water_Tension_cb
550,0
600,1
650,2
700,3
750,4
800,5
850,6
900,7
950,8
1000,9
1050,9.5
1100,10
1150,10.277
1200,10.555
1250,10.832
1280,11
1300,11.111
1350,11.389
1400,11.666
1450,11.944
1500,12.221
1550,12.498
1600,12.776
1650,13.053
1700,13.331
1750,13.608
1800,13.886
1850,14.163
1900,14.441
1950,14.718
2000,15
2050,15.25
2100,15.5
2150,15.75
2200,16
2250,16.25
2300,16.5
2350,16.75
2400,17
2450,17.25
2500,17.5
2550,17.75
2600,18
2650,18.25
2700,18.5
2750,18.75
2800,19
2850,19.25
2900,19.5
2950,19.75
3000,20
3050,20.25
3100,20.5
3150,20.75
3200,21
3250,21.25
3300,21.5
3350,21.75
3400,22
3450,22.25
3500,22.5
3550,22.75
3600,23
3650,23.25
3700,23.5
3750,23.75
3800,24
3850,24.25
3900,24.5
3950,24.75
4000,25
4050,25.25
4100,25.5
4150,25.75
4200,26
4250,26.25
4300,26.5
4350,26.75
4400,27
4450,27.25
4500,27.5
4550,27.75
4600,28
4650,28.25
4700,28.5
4750,28.75
4800,29
4850,29.25
4900,29.5
4950,29.75
5000,30
5050,30.25
5100,30.5
5150,30.75
5200,31
5250,31.25
5300,31.5
5350,31.75
5400,32
5450,32.25
5500,32.5
5550,32.75
5600,33
5650,33.25
5700,33.5
5750,33.75
5800,34
5850,34.25
5900,34.5
5950,34.75
6000,35
6050,35.312
6100,35.625
6150,35.938
6200,36.25
6250,36.562
6300,36.875
6350,37.188
6400,37.5
6450,37.812
6500,38.125
6550,38.438
6600,38.75
6650,39.062
6700,39.375
6750,39.688
6800,40
6850,40.312
6900,40.625
6950,40.938
7000,41.25
7050,41.562
7100,41.875
7150,42.188
7200,42.5
7250,42.812
7300,43.125
7350,43.438
7400,43.75
7450,44.062
7500,44.375
7550,44.688
7600,45
7650,45.312
7700,45.625
7750,45.938
7800,46.25
7850,46.562
7900,46.875
7950,47.188
8000,47.5
8050,47.812
8100,48.125
8150,48.438
8200,48.75
8250,49.062
8300,49.375
8350,49.688
8400,50
8450,50.312
8500,50.625
8550,50.938
8600,51.25
8650,51.562
8700,51.875
8750,52.188
8800,52.5
8850,52.812
8900,53.125
8950,53.438
9000,53.75
9050,54.062
9100,54.375
9150,54.688
9200,55
9250,55.333
9300,55.666
9350,55.999
9400,56.332
9450,56.665
9500,56.998
9550,57.331
9600,57.664
9650,57.997
9700,58.33
9750,58.663
9800,58.996
9850,59.329
9900,59.662
9950,59.995
10000,60.328
10050,60.661
10100,60.994
10150,61.327
10200,61.66
10250,61.993
10300,62.326
10350,62.659
10400,62.992
10450,63.325
10500,63.658
10550,63.991
10600,64.324
10650,64.657
10700,64.99
10750,65.323
10800,65.656
10850,65.989
10900,66.322
10950,66.655
11000,66.988
11050,67.321
11100,67.654
11150,67.987
11200,68.32
11250,68.653
11300,68.986
11350,69.319
11400,69.652
11450,69.985
11500,70.318
11550,70.651
11600,70.984
11650,71.317
11700,71.65
11750,71.983
11800,72.316
11850,72.649
11900,72.982
11950,73.315
12000,73.648
12050,73.981
12100,74.314
12150,74.647
12200,75
12250,75.37
12300,75.74
12350,76.11
12400,76.48
12450,76.85
12500,77.22
12550,77.59
12600,77.96
12650,78.33
12700,78.7
12750,79.07
12800,79.44
12850,79.81
12900,80.18
12950,80.55
13000,80.92
13050,81.29
13100,81.66
13150,82.03
13200,82.4
13250,82.77
13300,83.14
13350,83.51
13400,83.88
13450,84.25
13500,84.62
13550,84.99
13600,85.36
13650,85.73
13700,86.1
13750,86.47
13800,86.84
13850,87.21
13900,87.58
13950,87.95
14000,88.32
14050,88.69
14100,89.06
14150,89.43
14200,89.8
14250,90.17
14300,90.54
14350,90.91
14400,91.28
14450,91.65
14500,92.02
14550,92.39
14600,92.76
14650,93.13
14700,93.5
14750,93.87
14800,94.24
14850,94.61
14900,94.98
14950,95.35
15000,95.72
15050,96.09
15100,96.46
15150,96.83
15200,97.2
15250,97.57
15300,97.94
15350,98.31
15400,98.68
15450,99.05
15500,99.42
15550,99.79
15575,100
15600,100.2
15650,100.6
15700,101
15750,101.4
15800,101.8
15850,102.2
15900,102.6
15950,103
16000,103.4
16050,103.8
16100,104.2
16150,104.6
16200,105
16250,105.4
16300,105.8
16350,106.2
16400,106.6
16450,107
16500,107.4
16550,107.8
16600,108.2
16650,108.6
16700,109
16750,109.4
16800,109.8
16850,110.2
16900,110.6
16950,111
17000,111.4
17050,111.8
17100,112.2
17150,112.6
17200,113
17250,113.4
17300,113.8
17350,114.2
17400,114.6
17450,115
17500,115.4
17550,115.8
17600,116.2
17650,116.6
17700,117
17750,117.4
17800,117.8
17850,118.2
17900,118.6
17950,119
18000,119.4
18050,119.8
18100,120.2
18150,120.6
18200,121
18250,121.4
18300,121.8
18350,122.2
18400,122.6
18450,123
18500,123.4
18550,123.8
18600,124.2
18650,124.6
18700,125
18750,125.4
18800,125.8
18850,126.2
18900,126.6
18950,127
19000,127.4
19050,127.8
19100,128.2
19150,128.6
19200,129
19250,129.4
19300,129.8
19350,130.2
19400,130.6
19450,131
19500,131.4
19550,131.8
19600,132.2
19650,132.6
19700,133
19750,133.4
19800,133.8
19850,134.2
19900,134.6
19950,135
20000,135.4
20050,135.8
20100,136.2
20150,136.6
20200,137
20250,137.4
20300,137.8
20350,138.2
20400,138.6
20450,139
